1+16,39.,11.,38.,12.,46.,4.,33.,17.,36.,14.,34.,16.,49.,1.,46.,4.,48.,2.,34.,16.,0.1,0.01,0.710361974362,0.0005602216468041077,0.023669001812584065,839.404057264328
1+16,44.,6.,46.,4.,38.,12.,32.,18.,44.,6.,43.,7.,35.,15.,37.,13.,47.,3.,40.,10.,0.1,0.01,0.763457930165,0.00045976205808775467,0.021442062822586698,935.6078345775604
1+16,39.,11.,45.,5.,45.,5.,29.,21.,50.,0.,43.,7.,46.,4.,44.,6.,49.,1.,49.,1.,0.1,0.01,0.76359005848,2.0129137888580697e-05,0.004486550778558145,928.8427703380585
1+16,44.,6.,50.,0.,36.,14.,47.,3.,41.,9.,49.,1.,38.,12.,44.,6.,47.,3.,49.,1.,0.1,0.01,0.772052723535,4.131562983924564e-06,0.002032624653969484,707.5413446426392
1+16,49.,1.,39.,11.,49.,1.,22.,28.,39.,11.,46.,4.,38.,12.,44.,6.,49.,1.,40.,10.,0.1,0.01,0.730963347506,5.289423054539981e-05,0.007272841985455192,954.9168744087219
1+16,48.,2.,45.,5.,40.,10.,31.,19.,48.,2.,46.,4.,47.,3.,47.,3.,48.,2.,50.,0.,0.1,0.01,0.759708038767,6.128289961537106e-06,0.0024755383175255248,674.827291727066
1+16,41.,9.,41.,9.,50.,0.,39.,11.,32.,18.,45.,5.,49.,1.,47.,3.,50.,0.,48.,2.,0.1,0.01,0.77212353038,0.0003076108486386315,0.01753883829216267,848.2564868927002
1+16,41.,9.,47.,3.,35.,15.,49.,1.,50.,0.,34.,16.,35.,15.,44.,6.,45.,5.,47.,3.,0.1,0.01,0.757727730996,1.1342422615004936e-08,0.00010650081039600092,719.3682200908661
1+16,45.,5.,50.,0.,45.,5.,50.,0.,49.,1.,38.,12.,36.,14.,34.,16.,48.,2.,50.,0.,0.1,0.01,0.764259282286,4.466950254926071e-06,0.00211351608816353,884.477442741394
1+16,45.,5.,42.,8.,46.,4.,46.,4.,44.,6.,45.,5.,47.,3.,46.,4.,38.,12.,34.,16.,0.1,0.1,0.808136459313,0.00047618314214636513,0.021821620978890757,1240.9691638946533
1+16,47.,3.,47.,3.,49.,1.,48.,2.,40.,10.,46.,4.,40.,10.,43.,7.,45.,5.,47.,3.,0.1,0.1,0.826075676793,2.2930235805268026e-07,0.00047885525793571514,1154.6650285720825
1+16,44.,6.,43.,7.,49.,1.,49.,1.,41.,9.,38.,12.,36.,14.,45.,5.,43.,7.,43.,7.,0.1,0.1,0.803149252051,6.677345581932881e-06,0.0025840560330482156,1232.9804434776306
1+16,40.,10.,45.,5.,42.,8.,35.,15.,48.,2.,43.,7.,48.,2.,32.,18.,46.,4.,46.,4.,0.1,0.1,0.804349449284,0.00014199921058145632,0.011916342164500661,1209.5720596313477
1+16,39.,11.,43.,7.,44.,6.,37.,13.,45.,5.,46.,4.,48.,2.,42.,8.,39.,11.,46.,4.,0.1,0.1,0.807776733051,0.00012018348180453343,0.010962822711534353,1188.820256948471
1+16,46.,4.,43.,7.,44.,6.,48.,2.,37.,13.,47.,3.,45.,5.,39.,11.,38.,12.,47.,3.,0.1,0.1,0.81920175336,7.642511938963181e-05,0.008742146154671164,1195.55144906044
1+16,41.,9.,40.,10.,45.,5.,47.,3.,41.,9.,42.,8.,46.,4.,49.,1.,41.,9.,36.,14.,0.1,0.1,0.81774443476,0.00045893084409261327,0.02142267126416809,1123.353681564331
1+16,48.,2.,46.,4.,46.,4.,44.,6.,38.,12.,43.,7.,41.,9.,41.,9.,43.,7.,49.,1.,0.1,0.1,0.809938380071,4.435149149118501e-06,0.002105979380031652,1144.5454432964325
1+16,48.,2.,45.,5.,38.,12.,39.,11.,47.,3.,47.,3.,41.,9.,48.,2.,39.,11.,47.,3.,0.1,0.1,0.815618068518,0.0003312411392610448,0.018200031298353438,1140.6095600128174
1+16,46.,4.,42.,8.,46.,4.,44.,6.,46.,4.,48.,2.,41.,9.,44.,6.,40.,10.,41.,9.,0.1,0.1,0.817791160974,0.00042899333778852796,0.020712154349283127,1137.2466354370117
2+8,50.,0.,36.,14.,47.,3.,50.,0.,37.,13.,37.,13.,46.,4.,49.,1.,46.,4.,43.,7.,0.1,0.1,0.78417121239,8.871609673376786e-05,0.009418922270290156,1297.7901918888092
2+8,28.,22.,50.,0.,50.,0.,47.,3.,50.,0.,47.,3.,40.,10.,43.,7.,41.,9.,31.,19.,0.1,0.1,0.768365892771,0.0008921340739519761,0.02986861352577277,1331.4649074077606
2+8,43.,7.,50.,0.,43.,7.,44.,6.,40.,10.,39.,11.,38.,12.,42.,8.,50.,0.,43.,7.,0.1,0.1,0.799551517539,1.3851494375506822e-05,0.00372175958056224,1369.8933033943176
